section,name,value,value_percent
meta,algorithm,ahp,
,,,
criteria_weights,,,
criteria_weight,Критерий 1,0.560144568808068,56.0144568808068
criteria_weight,Критерий 2,0.12310581358543397,12.310581358543397
criteria_weight,Критерий 3,0.18364300366865233,18.364300366865233
criteria_weight,Критерий 4,0.13310661393784579,13.310661393784578
,,,
ranking,,,
ranking,Альтернатива 1,0.49476792490488514,49.47679249048851
ranking,Альтернатива 2,0.31425810910359636,31.425810910359637
ranking,Альтернатива 3,0.19097396599151845,19.097396599151846
,,,
consistency,cr,2.8393262903661842,
consistency,is_consistent,False,
