section,name,value,value_percent
meta,algorithm,ahp,
,,,
criteria_weights,,,
criteria_weight,Критерий 1,0.37954545454436983,37.95454545443698
criteria_weight,Критерий 2,0.1613636363668905,16.13636363668905
criteria_weight,Критерий 3,0.22954545454436984,22.954545454436985
criteria_weight,Критерий 4,0.22954545454436984,22.954545454436985
,,,
ranking,,,
ranking,Альтернатива 1,0.3775420875411644,37.75420875411644
ranking,Альтернатива 3,0.32653198653130444,32.653198653130445
ranking,Альтернатива 2,0.2959259259275309,29.592592592753093
,,,
consistency,cr,0.1925543100822274,
consistency,is_consistent,False,
