section,name,value,value_percent
meta,algorithm,ahp,
,,,
criteria_weights,,,
criteria_weight,Критерий 1,0.25,25.0
criteria_weight,Критерий 2,0.25,25.0
criteria_weight,Критерий 3,0.25,25.0
criteria_weight,Критерий 4,0.25,25.0
,,,
ranking,,,
ranking,Альтернатива 1,0.11111111111111113,11.111111111111112
ranking,Альтернатива 2,0.11111111111111113,11.111111111111112
ranking,Альтернатива 3,0.11111111111111113,11.111111111111112
ranking,Альтернатива 4,0.11111111111111113,11.111111111111112
ranking,Альтернатива 5,0.11111111111111113,11.111111111111112
ranking,Альтернатива 6,0.11111111111111113,11.111111111111112
ranking,Альтернатива 7,0.11111111111111113,11.111111111111112
ranking,Альтернатива 8,0.11111111111111113,11.111111111111112
ranking,Альтернатива 9,0.11111111111111113,11.111111111111112
,,,
consistency,cr,0.0,
consistency,is_consistent,True,
