section,name,value,value_percent
meta,algorithm,ahp,
,,,
criteria_weights,,,
criteria_weight,Критерий 1,0.25,25.0
criteria_weight,Критерий 2,0.25,25.0
criteria_weight,Критерий 3,0.25,25.0
criteria_weight,Критерий 4,0.25,25.0
,,,
ranking,,,
ranking,Альтернатива 1,0.05000000000000001,5.000000000000001
ranking,Альтернатива 2,0.05000000000000001,5.000000000000001
ranking,Альтернатива 3,0.05000000000000001,5.000000000000001
ranking,Альтернатива 4,0.05000000000000001,5.000000000000001
ranking,Альтернатива 5,0.05000000000000001,5.000000000000001
ranking,Альтернатива 6,0.05000000000000001,5.000000000000001
ranking,Альтернатива 7,0.05000000000000001,5.000000000000001
ranking,Альтернатива 8,0.05000000000000001,5.000000000000001
ranking,Альтернатива 9,0.05000000000000001,5.000000000000001
ranking,Альтернатива 10,0.05000000000000001,5.000000000000001
ranking,Альтернатива 11,0.05000000000000001,5.000000000000001
ranking,Альтернатива 12,0.05000000000000001,5.000000000000001
ranking,Альтернатива 13,0.05000000000000001,5.000000000000001
ranking,Альтернатива 14,0.05000000000000001,5.000000000000001
ranking,Альтернатива 15,0.05000000000000001,5.000000000000001
ranking,Альтернатива 16,0.05000000000000001,5.000000000000001
ranking,Альтернатива 17,0.05000000000000001,5.000000000000001
ranking,Альтернатива 18,0.05000000000000001,5.000000000000001
ranking,Альтернатива 19,0.05000000000000001,5.000000000000001
ranking,Альтернатива 20,0.05000000000000001,5.000000000000001
,,,
consistency,cr,0.0,
consistency,is_consistent,True,
